Id,BedroomAbvGr,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,EnclosedPorch,Fireplaces,FirstFlrSF,FullBath,GarageArea,GarageCars,GarageYrBlt,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LotFrontage,LowQualFinSF,MasVnrArea,MiscVal,MoSold,OpenPorchSF,PoolArea,ScreenPorch,SecondFlrSF,Threeseasonporch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,MSSubClass,MSZoning,Street,Alley,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,GarageType,MiscFeature,SaleType,SaleCondition,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,PoolQC,LotShape,LandSlope,BsmtExposure,BsmtFinType1,BsmtFinType2,Functional,GarageFinish,PavedDrive,Utilities,CentralAir,Electrical,Fence,OverallQual,OverallCond
11,3.0,906.0,0.0,1.0,0.0,134.0,0.0,0.0,1040.0,1.0,384.0,1.0,1965.0,1040.0,0.0,1.0,11200.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1040.0,0.0,1965.0,1965.0,2008.0,0.0,4.0,1.0,1.0,3.0,4.0,19.0,2.0,2.0,0.0,2.0,3.0,1.0,6.0,6.0,2.0,1.0,1.0,5.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,5.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0
12,4.0,998.0,0.0,1.0,0.0,177.0,0.0,2.0,1182.0,3.0,736.0,3.0,2005.0,2324.0,0.0,1.0,11924.0,85.0,0.0,286.0,0.0,7.0,21.0,0.0,0.0,1142.0,0.0,11.0,1175.0,147.0,2005.0,2006.0,2006.0,5.0,4.0,1.0,1.0,3.0,4.0,16.0,2.0,2.0,0.0,5.0,3.0,1.0,15.0,16.0,3.0,2.0,1.0,3.0,1.0,6.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,5.0,5.0,3.0,0.0,0.0,3.0,2.0,6.0,7.0,0.0,2.0,0.0,1.0,5.0,4.0,8.0,4.0
13,2.0,737.0,0.0,1.0,0.0,175.0,0.0,0.0,912.0,1.0,352.0,1.0,1962.0,912.0,0.0,1.0,12968.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,176.0,0.0,0.0,4.0,912.0,140.0,1962.0,1962.0,2008.0,0.0,4.0,1.0,1.0,3.0,4.0,19.0,2.0,2.0,0.0,2.0,3.0,1.0,6.0,11.0,2.0,1.0,1.0,5.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,1.0,0.0,3.0,0.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,5.0
14,3.0,0.0,0.0,0.0,0.0,1494.0,0.0,1.0,1494.0,2.0,840.0,3.0,2006.0,1494.0,0.0,1.0,10652.0,91.0,0.0,306.0,0.0,8.0,33.0,0.0,0.0,0.0,0.0,7.0,1494.0,160.0,2006.0,2007.0,2007.0,0.0,4.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,3.0,2.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,2.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,0.0,0.0,0.0,6.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,6.0,4.0
15,2.0,733.0,0.0,1.0,0.0,520.0,176.0,1.0,1253.0,1.0,352.0,1.0,1960.0,1253.0,1.0,1.0,10920.0,0.0,0.0,212.0,0.0,5.0,213.0,0.0,0.0,0.0,0.0,5.0,1253.0,0.0,1960.0,1960.0,2008.0,0.0,4.0,1.0,1.0,3.0,0.0,12.0,2.0,2.0,0.0,2.0,3.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,3.0,0.0,0.0,3.0,1.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,1.0,5.0,4.0
16,2.0,0.0,0.0,0.0,0.0,832.0,0.0,0.0,854.0,1.0,576.0,2.0,1991.0,854.0,0.0,1.0,6120.0,51.0,0.0,0.0,0.0,7.0,112.0,0.0,0.0,0.0,0.0,5.0,832.0,48.0,1929.0,2001.0,2007.0,3.0,5.0,1.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,14.0,15.0,2.0,0.0,1.0,5.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,6.0,6.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,7.0
17,2.0,578.0,0.0,1.0,0.0,426.0,0.0,1.0,1004.0,1.0,480.0,2.0,1970.0,1004.0,0.0,1.0,11241.0,0.0,0.0,180.0,700.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1004.0,0.0,1970.0,1970.0,2010.0,0.0,4.0,1.0,1.0,3.0,1.0,12.0,2.0,2.0,0.0,2.0,1.0,1.0,14.0,15.0,1.0,1.0,1.0,1.0,3.0,9.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,3.0,0.0,6.0,7.0,0.0,2.0,0.0,1.0,5.0,4.0,5.0,6.0
18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,2.0,516.0,2.0,1967.0,1296.0,0.0,2.0,10791.0,72.0,0.0,0.0,500.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1967.0,1967.0,2006.0,10.0,4.0,1.0,1.0,3.0,4.0,19.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,8.0,2.0,3.0,1.0,4.0,3.0,9.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,4.0,4.0,4.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,3.0,4.0
19,3.0,646.0,0.0,1.0,0.0,468.0,0.0,0.0,1114.0,1.0,576.0,2.0,2004.0,1114.0,1.0,1.0,13695.0,66.0,0.0,0.0,0.0,6.0,102.0,0.0,0.0,0.0,0.0,6.0,1114.0,0.0,2004.0,2004.0,2008.0,0.0,4.0,1.0,1.0,3.0,4.0,20.0,5.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,2.0,2.0,1.0,5.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0
20,3.0,504.0,0.0,0.0,0.0,525.0,0.0,0.0,1339.0,1.0,294.0,1.0,1958.0,1339.0,0.0,1.0,7560.0,70.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1029.0,0.0,1958.0,1965.0,2009.0,0.0,4.0,1.0,1.0,3.0,4.0,12.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,11.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,3.0,6.0,2.0,3.0,2.0,0.0,1.0,5.0,2.0,4.0,5.0
21,4.0,0.0,0.0,0.0,0.0,1158.0,0.0,1.0,1158.0,3.0,853.0,3.0,2005.0,2376.0,1.0,1.0,14215.0,101.0,0.0,380.0,0.0,11.0,154.0,0.0,0.0,1218.0,0.0,9.0,1158.0,240.0,2005.0,2006.0,2006.0,5.0,4.0,1.0,1.0,3.0,0.0,16.0,2.0,2.0,0.0,5.0,1.0,1.0,13.0,14.0,1.0,2.0,1.0,3.0,1.0,6.0,5.0,2.0,4.0,0.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,0.0,0.0,0.0,6.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
22,3.0,0.0,0.0,0.0,0.0,637.0,205.0,1.0,1108.0,1.0,280.0,1.0,1930.0,1108.0,0.0,1.0,7449.0,57.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,637.0,0.0,1930.0,1950.0,2007.0,3.0,5.0,1.0,0.0,0.0,4.0,9.0,2.0,2.0,0.0,1.0,1.0,1.0,14.0,15.0,2.0,2.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,3.0,6.0,6.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0
23,3.0,0.0,0.0,0.0,0.0,1777.0,0.0,1.0,1795.0,2.0,534.0,2.0,2002.0,1795.0,0.0,1.0,9742.0,75.0,0.0,281.0,0.0,9.0,159.0,0.0,0.0,0.0,0.0,7.0,1777.0,171.0,2002.0,2002.0,2008.0,0.0,4.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,0.0,2.0,3.0,1.0,13.0,14.0,1.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,3.0,6.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
24,3.0,840.0,0.0,1.0,0.0,200.0,0.0,1.0,1060.0,1.0,572.0,2.0,1976.0,1060.0,0.0,1.0,4224.0,44.0,0.0,0.0,0.0,6.0,110.0,0.0,0.0,0.0,0.0,6.0,1040.0,100.0,1976.0,1976.0,2007.0,11.0,5.0,1.0,1.0,3.0,4.0,10.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,6.0
25,3.0,188.0,668.0,1.0,0.0,204.0,0.0,1.0,1060.0,1.0,270.0,1.0,1968.0,1060.0,0.0,1.0,8246.0,0.0,0.0,0.0,0.0,5.0,90.0,0.0,0.0,0.0,0.0,6.0,1060.0,406.0,1968.0,2001.0,2010.0,0.0,4.0,1.0,1.0,3.0,4.0,19.0,2.0,2.0,0.0,2.0,1.0,1.0,10.0,11.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,2.0,4.0,4.0,0.0,2.0,5.0,5.0,5.0,3.0,0.0,0.0,2.0,5.0,0.0,7.0,3.0,2.0,0.0,1.0,5.0,2.0,4.0,7.0
26,3.0,0.0,0.0,0.0,0.0,1566.0,0.0,1.0,1600.0,2.0,890.0,3.0,2007.0,1600.0,0.0,1.0,14230.0,110.0,0.0,640.0,0.0,7.0,56.0,0.0,0.0,0.0,0.0,7.0,1566.0,0.0,2007.0,2007.0,2009.0,0.0,4.0,1.0,1.0,3.0,0.0,16.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,3.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,3.0,6.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
27,3.0,234.0,486.0,0.0,1.0,180.0,0.0,0.0,900.0,1.0,576.0,2.0,2005.0,900.0,0.0,1.0,7200.0,60.0,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,0.0,5.0,900.0,222.0,1951.0,2000.0,2010.0,0.0,4.0,1.0,1.0,3.0,0.0,12.0,2.0,2.0,0.0,2.0,1.0,1.0,14.0,15.0,2.0,1.0,1.0,5.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,0.0,2.0,1.0,5.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,6.0
28,3.0,1218.0,0.0,1.0,0.0,486.0,0.0,1.0,1704.0,2.0,772.0,3.0,2008.0,1704.0,0.0,1.0,11478.0,98.0,0.0,200.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,7.0,1704.0,0.0,2007.0,2008.0,2010.0,0.0,4.0,1.0,1.0,3.0,4.0,16.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,3.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,0.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
29,2.0,1277.0,0.0,1.0,0.0,207.0,0.0,2.0,1600.0,1.0,319.0,1.0,1957.0,1600.0,0.0,1.0,16321.0,47.0,0.0,0.0,0.0,12.0,258.0,0.0,0.0,0.0,0.0,6.0,1484.0,288.0,1957.0,1997.0,2006.0,0.0,4.0,1.0,1.0,3.0,1.0,12.0,2.0,2.0,0.0,2.0,1.0,1.0,8.0,8.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,4.0,5.0
30,1.0,0.0,0.0,0.0,0.0,520.0,87.0,0.0,520.0,1.0,240.0,1.0,1920.0,520.0,0.0,1.0,6324.0,60.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,520.0,49.0,1927.0,1950.0,2008.0,1.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,7.0,0.0,2.0,1.0,1.0,8.0,8.0,2.0,0.0,1.0,5.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,5.0,3.0,0.0,0.0,3.0,6.0,6.0,7.0,3.0,2.0,0.0,0.0,5.0,4.0,3.0,5.0
31,3.0,0.0,0.0,0.0,0.0,649.0,172.0,0.0,649.0,1.0,250.0,1.0,1920.0,1317.0,0.0,1.0,8500.0,50.0,0.0,0.0,0.0,7.0,54.0,0.0,0.0,668.0,0.0,6.0,649.0,0.0,1920.0,1950.0,2008.0,6.0,0.0,1.0,2.0,3.0,4.0,9.0,1.0,2.0,0.0,5.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,5.0,1.0,9.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,0.0,3.0,6.0,6.0,7.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0
32,3.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,1228.0,1.0,271.0,1.0,1966.0,1228.0,1.0,1.0,8544.0,0.0,0.0,0.0,0.0,6.0,65.0,0.0,0.0,0.0,0.0,6.0,1228.0,0.0,1966.0,2006.0,2008.0,0.0,4.0,1.0,1.0,3.0,1.0,19.0,2.0,2.0,0.0,2.0,1.0,1.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,5.0,3.0,0.0,0.0,3.0,6.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,2.0,4.0,5.0
33,3.0,0.0,0.0,0.0,0.0,1234.0,0.0,0.0,1234.0,2.0,484.0,2.0,2007.0,1234.0,0.0,1.0,11049.0,85.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,7.0,1234.0,0.0,2007.0,2007.0,2008.0,0.0,4.0,1.0,1.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,2.0,2.0,1.0,1.0,1.0,9.0,4.0,2.0,4.0,0.0,4.0,0.0,2.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,6.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
34,4.0,1018.0,0.0,0.0,1.0,380.0,0.0,1.0,1700.0,1.0,447.0,2.0,1959.0,1700.0,1.0,1.0,10552.0,70.0,0.0,0.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,6.0,1398.0,0.0,1959.0,1959.0,2010.0,0.0,4.0,1.0,1.0,3.0,4.0,12.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,3.0,0.0,0.0,3.0,5.0,6.0,7.0,2.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0
35,2.0,1153.0,0.0,1.0,0.0,408.0,0.0,1.0,1561.0,2.0,556.0,2.0,2005.0,1561.0,0.0,1.0,7313.0,60.0,0.0,246.0,0.0,8.0,47.0,0.0,0.0,0.0,0.0,6.0,1561.0,203.0,2005.0,2005.0,2007.0,11.0,4.0,1.0,1.0,3.0,4.0,16.0,2.0,2.0,4.0,2.0,3.0,1.0,8.0,8.0,1.0,2.0,1.0,1.0,1.0,9.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,5.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,0.0,2.0,0.0,1.0,5.0,4.0,8.0,4.0
36,4.0,0.0,0.0,0.0,0.0,1117.0,0.0,1.0,1132.0,3.0,691.0,3.0,2004.0,2452.0,1.0,1.0,13418.0,108.0,0.0,132.0,0.0,9.0,32.0,0.0,0.0,1320.0,0.0,9.0,1117.0,113.0,2004.0,2005.0,2006.0,5.0,4.0,1.0,1.0,3.0,4.0,16.0,2.0,2.0,0.0,5.0,1.0,1.0,13.0,14.0,3.0,2.0,1.0,3.0,1.0,9.0,4.0,2.0,4.0,0.0,4.0,0.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,6.0,6.0,7.0,0.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0
37,3.0,0.0,0.0,0.0,0.0,1097.0,0.0,0.0,1097.0,1.0,672.0,2.0,1995.0,1097.0,1.0,1.0,10859.0,112.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,6.0,1097.0,392.0,1994.0,1995.0,2009.0,0.0,4.0,1.0,1.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,2.0,2.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,2.0,4.0,0.0,4.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,6.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,4.0
38,3.0,1213.0,0.0,0.0,1.0,84.0,0.0,1.0,1297.0,1.0,498.0,2.0,1954.0,1297.0,0.0,1.0,8532.0,74.0,0.0,650.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,1297.0,0.0,1954.0,1990.0,2009.0,0.0,4.0,1.0,1.0,3.0,4.0,12.0,2.0,2.0,0.0,2.0,3.0,1.0,14.0,15.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,3.0,5.0,6.0,7.0,0.0,2.0,0.0,1.0,5.0,4.0,4.0,5.0
39,3.0,731.0,0.0,1.0,0.0,326.0,0.0,0.0,1057.0,1.0,246.0,1.0,1953.0,1057.0,0.0,1.0,7922.0,68.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,5.0,1057.0,0.0,1953.0,2007.0,2010.0,0.0,4.0,1.0,1.0,3.0,4.0,12.0,2.0,2.0,0.0,2.0,1.0,1.0,13.0,14.0,2.0,1.0,1.0,5.0,1.0,9.0,0.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,0.0,3.0,2.0,6.0,7.0,3.0,2.0,0.0,1.0,5.0,4.0,4.0,6.0
